problem,pass_num,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time_sec,bugs,cyclomatic,sloc,lloc,comment_rate,mi_std,mi_custom
586C,pass@1,5.0,18.0,17.0,34.0,23.0,51.0,86.67,230.7,4.72,1089.42,60.52,0.0769,8.0,39.0,39.0,0.0,47.54,47.67
586C,pass@2,7.0,17.0,22.0,43.0,24.0,65.0,89.14,298.02,8.85,2638.38,146.58,0.0993,8.0,37.0,37.0,0.0,47.26,47.39
586C,pass@3,8.0,21.0,17.0,33.0,29.0,50.0,116.24,242.9,6.29,1526.79,84.82,0.081,11.0,43.0,43.0,0.0,46.05,46.19
586C,pass@4,6.0,18.0,20.0,38.0,24.0,58.0,90.57,265.93,6.33,1684.21,93.57,0.0886,8.0,37.0,37.0,0.0,47.74,47.74
586C,pass@5,4.0,15.0,15.0,30.0,19.0,45.0,66.6,191.16,4.0,764.63,42.48,0.0637,7.0,26.0,26.0,0.0,52.08,52.22
586C,pass@6,4.0,16.0,11.0,22.0,20.0,33.0,72.0,142.62,2.75,392.21,21.79,0.0475,6.0,31.0,32.0,0.0,51.14,51.28
586C,pass@7,6.0,12.0,12.0,24.0,18.0,36.0,58.53,150.12,6.0,900.7,50.04,0.05,0.0,30.0,30.0,0.0,50.79,52.54
586C,pass@8,4.0,13.0,9.0,18.0,17.0,27.0,56.11,110.36,2.77,305.62,16.98,0.0368,0.0,29.0,29.0,0.0,52.72,53.8
586C,pass@9,3.0,13.0,10.0,20.0,16.0,30.0,52.86,120.0,2.31,276.92,15.38,0.04,7.0,22.0,22.0,0.0,55.08,55.22
586C,pass@10,6.0,27.0,27.0,54.0,33.0,81.0,143.89,408.6,6.0,2451.58,136.2,0.1362,11.0,38.0,44.0,0.0,44.25,44.39
586C,pass@11,7.0,26.0,26.0,49.0,33.0,75.0,141.86,378.33,6.6,2495.52,138.64,0.1261,18.0,52.0,52.0,0.0,42.1,42.1
586C,pass@12,5.0,20.0,15.0,30.0,25.0,45.0,98.05,208.97,3.75,783.65,43.54,0.0697,12.0,40.0,40.0,0.0,47.06,47.19
586C,pass@13,5.0,17.0,15.0,30.0,22.0,45.0,81.1,200.67,4.41,885.33,49.18,0.0669,8.0,32.0,32.0,0.0,49.83,49.97
586C,pass@14,4.0,15.0,9.0,18.0,19.0,27.0,66.6,114.69,2.4,275.27,15.29,0.0382,7.0,25.0,25.0,0.0,54.14,54.14
586C,pass@15,5.0,21.0,20.0,40.0,26.0,60.0,103.85,282.03,4.76,1342.98,74.61,0.094,10.0,38.0,38.0,0.0,47.04,47.04
586C,pass@16,6.0,31.0,31.0,62.0,37.0,93.0,169.09,484.48,6.0,2906.87,161.49,0.1615,14.0,45.0,47.0,0.0,42.71,42.84
586C,pass@17,5.0,18.0,19.0,34.0,23.0,53.0,86.67,239.75,4.72,1132.15,62.9,0.0799,12.0,29.0,29.0,0.0,49.82,49.82
586C,pass@18,4.0,15.0,12.0,24.0,19.0,36.0,66.6,152.93,3.2,489.36,27.19,0.051,10.0,28.0,28.0,0.0,51.66,51.79
586C,pass@19,5.0,24.0,21.0,42.0,29.0,63.0,121.65,306.05,4.38,1338.98,74.39,0.102,9.0,34.0,35.0,0.0,47.57,47.7
586C,pass@20,4.0,6.0,6.0,12.0,10.0,18.0,23.51,59.79,4.0,239.18,13.29,0.0199,5.0,23.0,23.0,0.0,57.05,57.18
586C,pass@22,4.0,14.0,12.0,24.0,18.0,36.0,61.3,150.12,3.43,514.69,28.59,0.05,7.0,29.0,29.0,0.0,51.92,51.92
586C,pass@23,4.0,11.0,8.0,16.0,15.0,24.0,46.05,93.77,2.91,272.77,15.15,0.0313,8.0,21.0,21.0,0.0,56.14,56.27
586C,pass@24,4.0,11.0,14.0,28.0,15.0,42.0,46.05,164.09,5.09,835.36,46.41,0.0547,7.0,22.0,24.0,0.0,53.31,53.44
586C,pass@25,9.0,28.0,30.0,59.0,37.0,89.0,163.14,463.64,9.48,4396.31,244.24,0.1545,14.0,36.0,36.0,0.0,45.5,45.5
586C,pass@26,6.0,15.0,15.0,30.0,21.0,45.0,74.11,197.65,6.0,1185.93,65.88,0.0659,6.0,25.0,25.0,0.0,52.49,52.62
586C,pass@27,5.0,25.0,22.0,44.0,30.0,66.0,127.71,323.85,4.4,1424.96,79.16,0.108,13.0,47.0,48.0,0.0,43.86,44.0
586C,pass@28,6.0,20.0,18.0,36.0,26.0,54.0,101.95,253.82,5.4,1370.65,76.15,0.0846,6.0,24.0,24.0,0.0,52.11,52.25
586C,pass@29,7.0,25.0,21.0,38.0,32.0,59.0,135.75,295.0,5.32,1569.4,87.19,0.0983,12.0,44.0,44.0,0.0,45.11,45.24
586C,pass@30,5.0,15.0,14.0,28.0,20.0,42.0,70.21,181.52,4.67,847.1,47.06,0.0605,5.0,22.0,22.0,0.0,54.09,54.23
