problem,pass_num,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time_sec,bugs,cyclomatic,sloc,lloc,comment_rate,mi_std,mi_custom
586C,1,9.0,72.0,94.0,384.0,81.0,478.0,472.76,3030.45,24.0,72730.76,4040.6,1.0101,14.0,67.0,52.0,0.1,51.79,33.91
586C,2,9.0,79.0,90.0,377.0,88.0,467.0,526.53,3016.55,21.47,64779.55,3598.86,1.0055,11.0,63.0,50.0,0.06,48.59,34.91
586C,3,7.0,53.0,73.0,334.0,60.0,407.0,323.23,2404.1,22.06,53026.38,2945.91,0.8014,14.0,49.0,41.0,0.0,37.57,37.57
586C,4,9.0,60.0,71.0,309.0,69.0,380.0,382.94,2321.24,23.18,53794.72,2988.6,0.7737,10.0,51.0,49.0,0.0,37.84,37.84
586C,5,9.0,57.0,76.0,395.0,66.0,471.0,361.0,2846.91,31.18,88778.63,4932.15,0.949,14.0,63.0,60.0,0.02,42.25,34.68
586C,6,8.0,63.0,90.0,368.0,71.0,458.0,400.57,2816.58,23.37,65809.71,3656.1,0.9389,17.0,54.0,51.0,0.02,43.96,35.77
586C,7,9.0,57.0,89.0,360.0,66.0,449.0,361.0,2713.93,28.42,77132.83,4285.16,0.9046,16.0,53.0,44.0,0.02,44.98,36.19
586C,8,8.0,50.0,72.0,328.0,58.0,400.0,306.19,2343.19,26.24,61485.37,3415.85,0.7811,12.0,50.0,41.0,0.0,37.73,37.73
586C,9,9.0,59.0,81.0,408.0,68.0,489.0,375.61,2976.77,31.12,92633.03,5146.28,0.9923,15.0,63.0,60.0,0.02,41.98,34.41
586C,10,9.0,59.0,81.0,408.0,68.0,489.0,375.61,2976.77,31.12,92633.03,5146.28,0.9923,15.0,63.0,60.0,0.02,41.98,34.41
586C,11,9.0,63.0,75.0,348.0,72.0,423.0,405.1,2609.88,24.86,64874.12,3604.12,0.87,12.0,58.0,55.0,0.02,43.89,36.0
586C,13,9.0,57.0,76.0,395.0,66.0,471.0,361.0,2846.91,31.18,88778.63,4932.15,0.949,14.0,63.0,60.0,0.02,42.25,34.68
586C,14,8.0,88.0,138.0,470.0,96.0,608.0,592.43,4003.66,21.36,85532.68,4751.82,1.3346,16.0,75.0,62.0,0.15,52.58,31.72
586C,15,8.0,59.0,87.0,384.0,67.0,471.0,371.08,2857.13,26.03,74382.18,4132.34,0.9524,13.0,64.0,55.0,0.0,34.65,34.65
586C,16,9.0,54.0,77.0,353.0,63.0,430.0,339.29,2570.23,29.42,75607.61,4200.42,0.8567,13.0,55.0,53.0,0.0,36.41,36.41
586C,17,9.0,61.0,80.0,324.0,70.0,404.0,390.3,2476.23,23.9,59185.96,3288.11,0.8254,10.0,59.0,47.0,0.06,50.31,36.26
586C,18,9.0,59.0,75.0,343.0,68.0,418.0,375.61,2544.56,26.16,66568.26,3698.24,0.8482,10.0,54.0,52.0,0.0,37.02,37.02
586C,19,9.0,54.0,70.0,333.0,63.0,403.0,339.29,2408.84,27.75,66845.42,3713.63,0.8029,11.0,54.0,52.0,0.0,37.05,37.05
586C,20,9.0,54.0,82.0,444.0,63.0,526.0,339.29,3144.05,37.0,116329.82,6462.77,1.048,16.0,71.0,69.0,0.0,32.98,32.98
586C,21,9.0,57.0,66.0,270.0,66.0,336.0,361.0,2030.92,21.32,43290.59,2405.03,0.677,9.0,40.0,38.0,0.0,40.68,40.68
586C,22,9.0,59.0,84.0,337.0,68.0,421.0,375.61,2562.82,25.7,65873.21,3659.62,0.8543,16.0,48.0,46.0,0.0,37.31,37.31
586C,23,8.0,53.0,75.0,359.0,61.0,434.0,327.58,2573.94,27.09,69739.2,3874.4,0.858,11.0,53.0,44.0,0.0,37.03,37.03
586C,24,9.0,59.0,81.0,408.0,68.0,489.0,375.61,2976.77,31.12,92633.03,5146.28,0.9923,15.0,63.0,60.0,0.02,41.98,34.41
586C,25,9.0,64.0,73.0,311.0,73.0,384.0,412.53,2376.89,21.87,51975.96,2887.55,0.7923,10.0,50.0,46.0,0.04,49.82,37.95
586C,26,9.0,63.0,78.0,347.0,72.0,425.0,405.1,2622.22,24.79,64993.55,3610.75,0.8741,12.0,56.0,52.0,0.04,47.53,36.31
586C,27,9.0,66.0,72.0,286.0,75.0,358.0,427.46,2229.92,19.5,43483.38,2415.74,0.7433,8.0,50.0,37.0,0.1,55.86,38.42
586C,28,9.0,56.0,85.0,344.0,65.0,429.0,353.74,2583.6,27.64,71417.97,3967.66,0.8612,14.0,61.0,59.0,0.0,35.28,35.28
